N,values
710,238
711,235
712,254
713,261
714,242
715,244
716,257
717,241
718,253
719,249
720,237
721,242
722,241
723,255
724,237
725,242
726,240
727,248
728,251
729,246
730,257
731,241
732,244
733,241
734,232
735,235
736,244
737,241
738,239
739,259
740,257
741,249
742,254
743,230
744,248
745,247
746,251
747,255
748,239
749,252
750,243
751,234
752,255
753,241
754,239
755,246
756,248
757,252
758,259
759,237
760,240
761,241
762,252
763,237
764,252
765,242
766,246
767,243
768,256
769,246
770,249
771,253
772,250
773,250
774,256
775,237
776,249
777,242
778,259
779,241
780,241
781,233
782,248
783,254
784,262
785,244
786,256
787,262
788,227
789,244
790,245
791,249
792,251
793,239
794,246
795,230
796,245
797,250
798,257
799,248
800,251
801,244
802,257
803,250
804,248
805,246
806,239
807,253
808,241
809,240
810,234
811,243
812,252
813,258
814,243
815,245
816,242
817,249
818,242
819,240
820,245
821,233
822,242
823,253
824,240
825,245
826,272
827,246
828,250
829,249
830,244
831,239
832,246
833,257
834,246
835,241
836,247
837,254
838,243
839,238
840,227
841,239
842,246
843,254
844,244
845,257
846,242
847,249
848,243
849,238
850,246
851,251
852,271
853,254
854,255
855,247
856,252
857,236
858,244
859,264
860,234
861,242
862,271
863,253
864,252
865,234
866,244
867,241
868,241
869,230
870,249
871,242
872,265
873,249
874,255
875,242
876,263
877,239
878,236
879,237
880,244
881,236
882,254
883,251
884,233
885,248
886,242
887,255
888,231
889,252
890,255
891,248
892,254
893,236
894,250
895,234
896,249
897,236
898,240
899,247
900,240
901,243
902,249
903,248
904,243
905,242
906,248
907,251
908,237
909,246
910,266
911,249
912,260
913,239
914,252
915,250
916,250
917,233
918,253
919,240
920,249
921,256
922,246
923,250
924,246
925,239
926,264
927,237
928,249
929,259
930,266
931,238
932,244
933,259
934,255
935,249
936,246
937,242
938,249
939,236
940,250
941,246
942,236
943,248
944,261
945,244
946,237
947,250
948,248
949,255
950,241
951,260
952,237
953,251
954,254
955,231
956,237
957,250
958,244
959,230
960,253
961,260
962,233
963,251
964,247
965,247
966,243
967,261
968,238
969,241
970,245
971,248
972,256
973,250
974,249
975,246
976,247
977,239
978,246
979,240
980,258
981,243
982,255
983,238
984,241
985,256
986,242
987,241
988,258
989,252
990,242
991,254
992,244
993,250
994,257
995,253
996,244
997,254
998,254
999,252
1000,255
1001,239
1002,250
1003,245
1004,248
1005,244
1006,243
1007,234
1008,250
1009,249
1010,241
1011,244
1012,244
1013,246
1014,234
1015,245
1016,239
1017,248
1018,248
1019,249
1020,240
1021,249
1022,243
1023,253
1024,249
1025,259
1026,240
1027,240
1028,239
1029,263
1030,251
1031,242
1032,258
1033,243
1034,255
1035,262
1036,248
1037,244
1038,237
1039,246
1040,245
1041,230
1042,237
1043,258
1044,235
1045,248
1046,236
1047,252
1048,239
1049,264
1050,244
1051,242
1052,227
1053,240
1054,239
1055,250
1056,263
1057,252
1058,238
1059,243
1060,244
1061,255
1062,243
1063,239
1064,278
1065,247
1066,253
1067,238
1068,246
1069,234
1070,237
1071,252
1072,246
1073,242
1074,250
1075,235
1076,243
1077,245
1078,242
1079,246
1080,248
1081,242
1082,255
1083,239
1084,257
1085,240
1086,247
1087,241
1088,242
1089,260
1090,245
1091,248
1092,241
1093,256
1094,248
1095,253
1096,245
1097,242
1098,248
1099,253
1100,241
1101,256
1102,240
1103,247
1104,236
1105,240
1106,233
1107,248
1108,247
1109,253
1110,249
1111,236
1112,237
1113,245
1114,256
1115,245
1116,247
1117,241
1118,236
1119,240
1120,244
1121,245
1122,244
1123,252
1124,248
1125,236
1126,251
1127,241
1128,246
1129,240
1130,241
1131,246
1132,251
1133,273
1134,241
1135,250
1136,248
1137,249
1138,250
1139,234
1140,254
1141,248
1142,238
1143,246
1144,240
1145,245
1146,234
1147,242
1148,257
1149,234
1150,238
1151,247
1152,245
1153,251
1154,240
1155,253
1156,257
1157,246
1158,262
1159,235
1160,266
1161,248
1162,234
1163,242
1164,260
1165,245
1166,240
1167,236
1168,242
1169,239
1170,237
1171,256
1172,247
1173,245
1174,251
1175,244
1176,247
1177,256
1178,242
1179,244
1180,255
1181,244
1182,229
1183,245
1184,241
1185,250
1186,244
1187,241
1188,251
1189,240
1190,245
1191,245
1192,238
1193,251
1194,243
1195,246
1196,249
1197,245
1198,253
1199,251
1200,242
1201,246
1202,223
1203,238
1204,256
1205,243
1206,239
1207,244
1208,234
1209,244
1210,252
1211,262
1212,251
1213,254
1214,244
1215,241
1216,238
1217,259
1218,251
1219,237
1220,236
1221,246
1222,248
1223,240
1224,250
1225,258
1226,239
1227,245
1228,238
1229,260
1230,240
1231,234
1232,248
1233,238
1234,248
1235,248
1236,249
1237,245
1238,252
1239,246
1240,243
1241,247
1242,240
1243,254
1244,254
1245,251
1246,246
1247,237
1248,241
1249,252
1250,241
1251,236
1252,255
1253,255
1254,241
1255,237
1256,253
1257,237
1258,244
1259,257
1260,246
1261,252
1262,253
1263,243
1264,250
1265,242
1266,255
1267,255
1268,254
1269,242
1270,254
1271,256
1272,246
1273,238
1274,242
1275,241
1276,248
1277,256
1278,250
1279,250
1280,237
1281,245
1282,244
1283,252
1284,251
1285,241
1286,268
1287,250
1288,240
1289,235
1290,238
1291,236
1292,252
1293,252
1294,235
1295,249
1296,246
1297,254
1298,243
1299,241
1300,249
1301,250
1302,253
1303,258
1304,243
1305,237
1306,244
1307,240
1308,243
1309,249
1310,250
1311,239
1312,249
1313,247
1314,257
1315,242
1316,241
1317,257
1318,240
1319,242
1320,247
1321,246
1322,252
1323,253
1324,240
1325,234
1326,255
1327,255
1328,249
1329,254
1330,246
1331,253
1332,257
1333,244
1334,253
1335,262
1336,261
1337,244
1338,251
1339,246
1340,240
1341,233
1342,251
1343,246
1344,251
1345,254
1346,242
1347,256
1348,243
1349,241
1350,247
1351,249
1352,243
1353,257
1354,247
1355,249
1356,256
1357,260
1358,246
1359,243
1360,251
1361,253
1362,236
1363,246
1364,255
1365,249
1366,246
1367,261
1368,257
1369,257
1370,254
1371,240
1372,256
1373,238
1374,249
1375,241
1376,251
1377,255
1378,249
1379,248
1380,244
1381,240
1382,264
1383,256
1384,255
1385,237
1386,237
1387,249
1388,254
1389,263
1390,247
1391,253
1392,231
1393,257
1394,248
1395,252
1396,246
1397,248
1398,256
1399,242
1400,251
1401,261
1402,244
1403,257
1404,241
1405,247
1406,239
1407,242
1408,250
1409,248
1410,241
1411,239
1412,251
1413,236
1414,235
1415,239
1416,241
1417,246
1418,235
1419,257
1420,249
1421,241
1422,239
1423,249
1424,257
1425,255
1426,239
1427,238
1428,249
1429,238
1430,240
1431,236
1432,242
1433,241
1434,251
1435,249
1436,261
1437,248
1438,245
1439,252
1440,246
1441,255
1442,242
1443,249
1444,240
1445,237
1446,235
1447,237
1448,249
1449,253
1450,257
1451,245
1452,241
1453,253
1454,244
1455,270
1456,243
1457,245
1458,236
1459,243
1460,241
1461,234
1462,259
1463,233
1464,245
1465,256
1466,252
1467,248
1468,247
1469,233
1470,245
1471,251
1472,252
1473,233
1474,257
1475,249
1476,245
1477,241
1478,245
1479,244
1480,252
1481,249
1482,256
1483,240
1484,246
1485,241
1486,247
1487,240
1488,250
1489,233
1490,250
1491,240
1492,255
1493,237
1494,241
1495,247
1496,247
1497,247
1498,257
1499,239
